PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
22f1de6c,Olivier Kemen,cm CMR,"MF,DF",28,33,27,"2,479",27.5,2,8,10,2,0,0,7,0,0.07,0.29,0.36,0.07,0.36,Matches,UEFA Conference League,2024-2025
ed140063,Deniz Turuc,tr TUR,"MF,FW",31,34,26,"2,252",25.0,5,7,12,5,0,0,9,1,0.20,0.28,0.48,0.20,0.48,Matches,UEFA Conference League,2024-2025
922dfade,Crespo,pt POR,MF,27,29,25,"2,154",23.9,2,4,6,2,0,0,9,0,0.08,0.17,0.25,0.08,0.25,Matches,UEFA Conference League,2024-2025
90ba61ce,Berat Özdemir,tr TUR,MF,26,33,23,"2,075",23.1,0,2,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,Matches,UEFA Conference League,2024-2025
60c07b31,Ousseynou Ba,sn SEN,DF,28,21,20,"1,646",18.3,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
0f52f925,Lucas Lima,br BRA,DF,32,20,18,"1,650",18.3,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,UEFA Conference League,2024-2025
2b59d76f,Ömer Ali Şahiner,tr TUR,"DF,MF",32,22,18,"1,469",16.3,1,1,2,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,Matches,UEFA Conference League,2024-2025
804f159a,João Figueiredo,my MAS,"MF,FW",28,34,13,"1,452",16.1,7,0,7,5,2,2,2,0,0.43,0.00,0.43,0.31,0.31,Matches,UEFA Conference League,2024-2025
a2da58b1,Yusuf Sari,tr TUR,"MF,FW",25,17,13,"1,084",12.0,4,3,7,4,0,0,1,0,0.33,0.25,0.58,0.33,0.58,Matches,UEFA Conference League,2024-2025
089c2240,Hamza Güreler,tr TUR,DF,18,20,11,"1,141",12.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
cdb63f81,Philippe Keny,sn SEN,FW,25,27,11,"1,026",11.4,4,3,7,4,0,0,3,0,0.35,0.26,0.61,0.35,0.61,Matches,UEFA Conference League,2024-2025
b0c12a65,Davidson da Luz Pereira,br BRA,MF,33,19,11,"1,026",11.4,3,0,3,3,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches,UEFA Conference League,2024-2025
e887928a,Onur Ergün,tr TUR,"MF,DF",31,17,11,962,10.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
914bb955,Christopher Operi,ci CIV,"DF,MF",27,11,10,912,10.1,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,UEFA Conference League,2024-2025
