PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,League,Season
24051310,Zaidu Sanusi,Zaidu Sanusi,ng NGA,DF,Porto,27,1997,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,1.61,Primeira Liga,2024-2025
6b074beb,Guilherme Schettine,Guilherme Schettine,br BRA,FW,Moreirense,28,1995,30,19,"1,699",18.9,5,4,9,5,0,0,4,1,0.26,0.21,0.48,0.26,0.48,Matches,0.12,0.25,43,20,46.5,1.06,2.28,Primeira Liga,2024-2025
a427724f,Andreas Schjelderup,Andreas Schjelderup,no NOR,FW,Benfica,20,2004,20,3,524,5.8,1,3,4,1,0,0,0,0,0.17,0.52,0.69,0.17,0.69,Matches,0.06,0.13,18,8,44.4,1.37,3.09,Primeira Liga,2024-2025
0467df63,Caio Secco,Caio Secco,br BRA,GK,Moreirense,33,1990,5,5,447,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
9142b22f,Telasco Segovia,Telasco Segovia,ve VEN,MF,Casa Pia,21,2003,15,10,905,10.1,2,0,2,2,0,0,3,0,0.20,0.00,0.20,0.20,0.20,Matches,0.17,0.67,12,3,25.0,0.30,1.19,Primeira Liga,2024-2025
fde5fc24,Václav Sejk,Václav Sejk,cz CZE,FW,Famalicão,22,2002,16,10,858,9.5,3,1,4,3,0,0,0,1,0.31,0.10,0.42,0.31,0.42,Matches,0.18,0.50,17,6,35.3,0.63,1.78,Primeira Liga,2024-2025
6f21e773,Patrick Sequeira,Patrick Sequeira,cr CRC,GK,Casa Pia,25,1999,32,32,"2,880",32.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
53825020,Serginho,Serginho,pt POR,MF,Santa Clara,24,1999,29,15,"1,302",14.5,2,1,3,2,0,0,5,0,0.14,0.07,0.21,0.14,0.21,Matches,0.13,0.33,15,6,40.0,0.41,1.04,Primeira Liga,2024-2025
05c43608,Guilherme Serrão,Guilherme Serrão,pt POR,"MF,DF",Estrela,20,2003,11,9,748,8.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.12,Primeira Liga,2024-2025
c1d28ab4,André Seruca,André Seruca,pt POR,MF,Farense,23,2000,3,0,22,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
e0c5a083,Naziru Shuabiu,Naziru Shuabiu,ng NGA,FW,Rio Ave,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
5350c0dc,Sidney,Sidney,br BRA,DF,Santa Clara,27,1997,31,26,"2,386",26.5,3,1,4,3,0,0,12,2,0.11,0.04,0.15,0.11,0.15,Matches,0.17,0.43,18,7,38.9,0.26,0.68,Primeira Liga,2024-2025
08f087c4,Alysson Silva,Alysson Silva,br BRA,DF,Santa Clara,21,2002,2,2,163,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
8f0435c7,António Silva,António Silva,pt POR,DF,Benfica,20,2003,23,22,"2,037",22.6,1,2,3,1,0,0,2,0,0.04,0.09,0.13,0.04,0.13,Matches,0.09,0.33,11,3,27.3,0.13,0.49,Primeira Liga,2024-2025
57b28984,Gustavo da Silva,Gustavo da Silva,br BRA,"MF,FW",Vitória Guimarães,25,1999,21,9,871,9.7,7,0,7,7,0,0,4,0,0.72,0.00,0.72,0.72,0.72,Matches,0.27,0.54,26,13,50.0,1.34,2.69,Primeira Liga,2024-2025
6deb1eab,Joel silva,Joel silva,pt POR,"MF,FW",Boavista,21,2003,30,27,"2,397",26.6,2,1,3,2,0,0,4,0,0.08,0.04,0.11,0.08,0.11,Matches,0.10,0.29,21,7,33.3,0.26,0.79,Primeira Liga,2024-2025
5c1c6bcf,José Silva,José Silva,pt POR,DF,Sporting CP,18,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
d28c83be,Luís Manuel Costa Silva,Luís Manuel Costa Silva,pt POR,MF,AVS Futebol,31,1992,8,6,464,5.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,0.58,Primeira Liga,2024-2025
